Undf(Wall),Undf(Wall),ExitRoom,Undf(Wall),Undf(Wall),Undf(Wall),Undf(Wall),Undf(Wall),ExitRoom,Undf(Wall),Undf(Wall),Undf(Wall),Undf(Wall)
Undf(Wall),Space,Space,Space,Space,Space,Space,Space,Space,Space,Space,Space,Undf(Wall)
Undf(Wall),Space,Space,Space,Space,Space,Space,Space,Space,Space,Space,Space,Undf(Wall)
Undf(Wall),Space,Space,Space,Space,Space,Space,Space,Space,Space,Space,Space,Undf(Wall)
ExitRoom,Space,Space,Space,Space,Space,Space,Space,Space,Space,Space,Space,Undf(Wall)
Undf(Wall),Space,Space,Space,Space,Space,Space,Space,Space,Space,Space,Space,Undf(Wall)
Undf(Wall),Space,Space,Space,Space,Space,Space,Space,Space,Space,Space,Space,Undf(Wall)
Undf(Wall),Space,Space,Space,Space,Space,Space,Space,Space,Space,Space,Space,Undf(Wall)
Undf(Wall),Space,Space,Space,Space,Space,Space,Space,Space,Space,Space,Space,Undf(Wall)
Undf(Wall),Space,Space,Space,Space,Space,Space,Space,Space,Space,Space,Space,Undf(Wall)
Undf(Wall),Space,Space,Space,Space,Space,Space,Space,Space,Space,Space,Space,Undf(Wall)
Undf(Wall),Space,Space,Space,Space,Space,Space,Space,Space,Space,Space,Space,Undf(Wall)
Undf(Wall),Space,Space,Space,Space,Space,Space,Space,Space,Space,Space,Space,ExitRoom
Undf(Wall),Space,Space,Space,Space,Space,Space,Space,Space,Space,Space,Space,Undf(Wall)
Undf(Wall),ExitRoom,Undf(Wall),Undf(Wall),Undf(Wall),ExitRoom,Undf(Wall),Undf(Wall),Undf(Wall),Undf(Wall),ExitRoom,Undf(Wall),Undf(Wall)
